naam,functie,geslacht,geboortedatum,overlijdensdatum,doel,bestemming,van,tot_en_met,betaald_door
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Conferentie over gezinsbeleid.,Litouwen,2006-03-30,2006-03-31,Beneluxraad.
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,WEU rapporteur samenwerking EU/NAVO.,"Sarajevo, Bosnië-Herzegovina",2009-10-07,2009-10-09,Tweede Kamer der Staten-Generaal.
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Plenaire Vergadering WEU-Assemblee.,"Parijs, Frankrijk",2009-06-01,2009-06-04,Tweede Kamer der Staten-Generaal
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Bijwonen AVVN,"New York, Verenigde Staten",2009-10-18,2009-10-23,Tweede Kamer der Staten-Generaal.
Fleur Agema (M.),Tweede Kamerlid,vrouw,1976-09-16,,Bijwonen AVVN,"New York, Verenigde Staten",2009-10-18,2009-10-23,Tweede Kamer der Staten-Generaal.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,VN-conferentie over wapenhandel.,"New York, Verenigde Saten",2006-06-25,2006-07-09,Ministerie van Buitenlandse Zaken.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE PA.,"Wenen, Oostenrijk",2005-02-23,2005-02-25,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Raad van Europa,"Straatsburg, Frankrijk",2012-04-23,2012-04-27,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE Annual Session.,Verenigde Staten,2005-06-30,2005-07-06,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Tunesië,2012-02-19,2012-02-22,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE.,"Kopenhagen, Denemarken",2005-04-17,2005-04-18,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Commissie Defensie.,Irak,2005-02-02,2005-02-04,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Symposium Ankara op 20-12-2005 over civiel-militaire betrekkingen. Aansluitend privé.,"Ankara, Turkije",2005-12-17,2006-01-16,Vlucht door het Centre for European Security Studies (CESS). Aansluiten voor eigen rekening.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Commissie Defensie.,Afghanistan,2005-01-12,2005-01-14,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,11e Duits-Turls symposium.,"Hamburg, Duitsland",2005-04-15,2005-04-17,Körber Stigtung Hamburg
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE PA verkiezingswaarneming.,Kazachstan,2012-01-13,2012-01-16,Tweede Kamer der Staten-Generaal
Rendert Algra (R.H.),Oud Kamerlid,man,1963-10-05,,Internationale Arbeidsconferentie.,"Genève, Zwitserland",2006-06-05,2006-06-07,Tweede Kamer der Staten-Generaal.
Rendert Algra (R.H.),Oud Kamerlid,man,1963-10-05,,Divers: onder andere oriëntatie Amerikaans politiebestel.,Verenigde Staten,2005-04-06,2005-04-14,Voor eigen rekening.
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek met de vaste commissie voor Infrastructuur en Waterstaat aan een waterstoffabriek,"Mainz, Duitsland",2019-01-10,2019-01-11,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,,,,,
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Bangladesh,2023-02-25,2023-03-03,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Colombia,2019-05-04,2019-05-12,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Libanon, Beiroet",2017-10-13,2017-10-17,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Interparlementair Koninkrijksoverleg (IPKO),Bonaire en Curacao,2017-01-06,2017-01-14,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,St-Gerlach conferentie,"Valkenburg aan de Geul, Limburg",2022-06-10,2022-06-10,Konrad Adenauer Stiftung (KAS)
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Brussel, België",2022-06-22,2022-06-24,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Washington, Verenigde Staten",2019-04-06,2019-04-09,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,"Werkbezoek met de vaste commissie voor Infrastructuur en Waterstaat aan de Britse
Spoorwegpolitie en Eurostar","Londen, Verenigd Koninkrijk",2018-10-07,2018-10-08,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek,Estland,2016-10-20,2016-10-22,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,St-Gerlach conferentie,"Valkenburg aan de Geul, Limburg",2021-10-30,2021-10-30,Konrad Adenauer Stiftung (KAS)
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Marokko,2020-02-24,2020-02-27,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Rwanda,2022-07-13,2022-07-19,Tweede Kamer der Staten-Generaal
